game,date,result and moneyline
162,Sunday Oct 3,W -131
161,Saturday Oct 2,L -131
160,Friday Oct 1,L -126
159,Thursday Sep 30,W 137
158,Wednesday Sep 29,L -113
157,Tuesday Sep 28,W 110
156,Sunday Sep 26,W 100
155,Saturday Sep 25,W -103
154,Friday Sep 24,W -117
153,Wednesday Sep 22,W -268
152,Tuesday Sep 21,W -258
151,Monday Sep 20,W -264
150,Sunday Sep 19,L -317
149,Saturday Sep 18,L -177
148,Friday Sep 17,W -190
147,Thursday Sep 16,L -219
146,Wednesday Sep 15,W -149
145,Tuesday Sep 14,W -327
144,Monday Sep 13,W -170
143,Sunday Sep 12,L 111
142,Saturday Sep 11,W -114
141,Friday Sep 10,L -112
140,Thursday Sep 9,L -114
139,Wednesday Sep 8,L -123
138,Tuesday Sep 7,L -233
137,Monday Sep 6,L -132
136,Sunday Sep 5,L -321
135,Saturday Sep 4,L -335
134,Friday Sep 3,W -254
133,Wednesday Sep 1,W -269
132,Tuesday Aug 31,L -193
131,Monday Aug 30,L -186
130,Sunday Aug 29,L -156
129,Saturday Aug 28,L 115
128,Friday Aug 27,W -164
127,Thursday Aug 26,W -114
126,Tuesday Aug 24,W 127
125,Monday Aug 23,W -109
124,Saturday Aug 21,W -249
123,Friday Aug 20,W -251
122,Thursday Aug 19,W -239
121,Wednesday Aug 18,W -119
120,Tuesday Aug 17 (2),W -103
119,Tuesday Aug 17 (1),W -112
118,Monday Aug 16,W -282
117,Sunday Aug 15,W 159
116,Saturday Aug 14,W 125
115,Thursday Aug 12,L 150
114,Wednesday Aug 11,W -143
113,Tuesday Aug 10,L -149
112,Monday Aug 9,W -167
111,Sunday Aug 8,L -137
110,Saturday Aug 7,W -188
109,Friday Aug 6,W -166
108,Thursday Aug 5,W -190
107,Wednesday Aug 4,W -267
106,Tuesday Aug 3,W -252
105,Monday Aug 2,L -291
104,Sunday Aug 1,W -157
103,Saturday Jul 31,W -134
102,Friday Jul 30,W -166
101,Thursday Jul 29,L -122
100,Wednesday Jul 28,W 121
99,Tuesday Jul 27,W 121
98,Sunday Jul 25,L 123
97,Saturday Jul 24,W 153
96,Friday Jul 23,L 102
95,Thursday Jul 22,L 138
94,Wednesday Jul 21,W 101
93,Tuesday Jul 20,W 123
92,Sunday Jul 18,W -116
91,Saturday Jul 17,W -133
90,Friday Jul 16,L 102
89,Sunday Jul 11,L 119
88,Saturday Jul 10,W -107
87,Friday Jul 9,W 120
86,Thursday Jul 8,L -136
85,Wednesday Jul 7,W 108
84,Tuesday Jul 6,W -166
83,Sunday Jul 4 (2),W -146
82,Sunday Jul 4 (1),L -167
81,Saturday Jul 3,L -147
80,Wednesday Jun 30,L -112
79,Tuesday Jun 29,W -158
78,Monday Jun 28,L -161
77,Sunday Jun 27,L -147
76,Saturday Jun 26,L 103
75,Friday Jun 25,L -125
74,Thursday Jun 24,W -204
73,Wednesday Jun 23,W -172
72,Tuesday Jun 22,L -268
71,Sunday Jun 20,W -139
70,Saturday Jun 19,W -121
69,Friday Jun 18,L -136
68,Thursday Jun 17,W -102
67,Wednesday Jun 16,W -155
66,Tuesday Jun 15,W 110
65,Sunday Jun 13,L 118
64,Saturday Jun 12,L -121
63,Thursday Jun 10,L -139
62,Wednesday Jun 9,W -187
61,Tuesday Jun 8,W -111
60,Sunday Jun 6,L -148
59,Saturday Jun 5,L -139
58,Friday Jun 4,L -102
57,Thursday Jun 3,L -191
56,Wednesday Jun 2,W -133
55,Tuesday Jun 1,W 120
54,Monday May 31,L -131
53,Sunday May 30,L -185
52,Saturday May 29,L -126
51,Friday May 28,L -279
50,Thursday May 27 (2),W -129
49,Thursday May 27 (1),L -116
48,Tuesday May 25,L -163
47,Sunday May 23,W -149
46,Saturday May 22,W -200
45,Friday May 21,W -113
44,Thursday May 20,W -115
43,Wednesday May 19,W -165
42,Tuesday May 18,W -150
41,Monday May 17,L -257
40,Sunday May 16,L -157
39,Saturday May 15,W -161
38,Friday May 14,W -162
37,Thursday May 13,L -117
36,Wednesday May 12,W -181
35,Tuesday May 11,W -121
34,Sunday May 9,W -148
33,Saturday May 8,W -110
32,Friday May 7,L -168
31,Thursday May 6,L -189
30,Wednesday May 5,W -134
29,Tuesday May 4,W -116
28,Sunday May 2,W -233
27,Saturday May 1,W -209
26,Friday Apr 30,W -430
25,Thursday Apr 29,L -180
24,Wednesday Apr 28,W -146
23,Tuesday Apr 27,W -175
22,Monday Apr 26,L -159
21,Sunday Apr 25,L -123
20,Saturday Apr 24,W -126
19,Friday Apr 23,W -159
18,Thursday Apr 22,W -103
17,Wednesday Apr 21,L -146
16,Tuesday Apr 20,W -118
15,Sunday Apr 18,L -240
14,Saturday Apr 17,L -112
13,Friday Apr 16,L -164
12,Wednesday Apr 14,L -141
11,Tuesday Apr 13,L 101
10,Monday Apr 12,W -188
9,Sunday Apr 11,W -138
8,Saturday Apr 10,L -134
7,Friday Apr 9,L -135
6,Wednesday Apr 7,L -192
5,Tuesday Apr 6,W -303
4,Monday Apr 5,W -228
3,Sunday Apr 4,L -176
2,Saturday Apr 3,W -162
1,Thursday Apr 1,L -189
